{客户编码}[分隔符],1,2,3
//每行格式,1,2,3
//编码,名称,简码,税号,地址电话,银行账号,邮件地址,备注,身份证校验
编码,名称,简码,税号,地址电话,银行账号,邮件地址,备注,身份证校验
2017110308405501457538929682,测试2,,123409890989123,苏州街01000000000,国行999999999999999999,qqqqq@qq.com,备注,
2017110308472961180145282041,测试,,111111111111111111,,,,,
2017121509253415556391031369,某某科技有限公司,,13245432345322456422,北京市海淀区神州数码01088888812,工商银行1000000000000000000,yff@126.com,模板,
2018011009031753645258134932,优识云创（杭州）科技有限公司,,81110108069587786B,北京市海淀区西八里庄69号8层805室010-82102838,上海浦东发展银行北京万寿路支行91100154800004144,yff0103@126.com,优识云创信息,
2018011106000594528496664675,北京优和美科技有限公司,,212134345651113,北京朝阳区00-11221113,工商银行2222,666@666.com,优和美,
2018011107120494254325315775,北京360科技有限公司,,12341234123456778C,北京广告区000-11111999,邢台银行111222,678@126.com,360,
2018011108165928633726116227,北京电信科技有限公司,,808080808080808080,北京后海001-1333333,交通银行3333,888@888.com,电信,
2018011113322097729517571373,北京花少科技有限公司,,78907890098709870C,北京北头沟010-11111780,农业银行789789,234@126.com,hs,
2018011114074843382626415578,北京测试科技有限公司,,78907890098709876C,北京测试010-11111098,建设银行789999000,000@126.com,hs,
2018011114455397070400580549,北京哇哈哈科技有限公司,,78907890098709321C,北京哇哈哈测试010-11111000,上海银行789999111,111@126.com,whh,
2018011203411302497486563646,北京飞利浦科技有限公司,,78907890098709110A,河北廊坊010-11111880,廊坊银行100100,100@126.com,flp,
2018011208162272976778203891,北京花印科技有限公司,,12345678908989809B,北京房山区11010-1111100011,黄山银行1191191111,911@126.com,hy,
2018011209353095583211850756,北京荣耀科技有限公司,,123456789000000,北京好望角111-11111111,北京银行0001111,111@111.com,,
2018011510334233730780971909,中国移动通信集团终端有限公司,,911101147649695168,北京市昌平区沙河镇马满路甲一号88888888,北京银行62284811111111119987,,,
2018011514215527174325756708,北京小米科技有限公司,,567890567890567890,北京海淀区111-1111111,工商银行111,111@111.com,,
2018020608392488066164310255,北京某某商贸有限公司,,78907890098709011C,北京海淀区010-11111900,北京银行1191198,119@126.com,yb,
2018021101563952837463834292,天津某某信息技术有限公司,,101020201010110,地址010-9819199119,北京建设银行88888888,,,
2018021102531122299050842567,上海某某股份有限公司,,100100101010011,地址测试010-88888888,北京工商银行海淀支行88888888,,,
2018022708504912728415873121,优识云创（北京）科技有限公司,,12345678901234567890,北京海淀区苏州街神州数码000-01010101,北京银行901010101,,,
2018030109190010290017523316,xingy测试,,110022003301710,北京朝阳区00-11221126,工商银行2226,xingy@666.com,xingy,
2018030109472589169771249097,xingy测试01,,110022003301711,北京朝阳区00-11221126,工商银行2226,xingy@666.com,xingy,
2018032007411708164628495148,河北科技有限公司,,78907890098709011A,河北石家庄010-11111999,河北银行1999,1190@126.com,yb,
2018032909180838236788150576,山西科技有限公司,,123456789098765,,,,,
2018042403155936720620208616,优识云创测试公司,,12345678901234567891,河北石家庄010-11111999,河北银行1191191,1190@126.com,yb,
2018042517524122305568777589,优识云创（北京）科技有限公司2,,12345678901234567892,北京海淀区苏州街神州数码2000-01010102,北京银行2901010102,,,
